city,state,pop_est_2019,pop_est_2010,pop_dens_2016_mi,pop_dens_2016_km
New York,New York,"8,336,817","8,175,133",28317,10933
Los Angeles,California,"3,979,576","3,792,621",8484,3276
Chicago,Illinois,"2,693,976","2,695,598",11900,4600
Houston,Texas,"2,320,268","2,100,263",3613,1395
Phoenix,Arizona,"1,680,992","1,445,632",3120,1200
Philadelphia,Pennsylvania,"1,584,064","1,526,006",11683,4511
San Antonio,Texas,"1,547,253","1,327,407",3238,1250
San Diego,California,"1,423,851","1,307,402",4325,1670
Dallas,Texas,"1,343,573","1,197,816",3866,1493
San Jose,California,"1,021,795","945,942",5777,2231
Austin,Texas,"978,908","790,390",3031,1170
Jacksonville,Florida,"911,507","821,784",1178,455
Fort Worth,Texas,"909,585","741,206",2491,962
Columbus,Ohio,"898,553","787,033",3936,1520
Charlotte,North Carolina,"885,708","731,424",2757,1064
San Francisco,California,"881,549","805,235",18569,7170
Indianapolis,Indiana,"876,384","820,445",2366,914
Seattle,Washington,"753,675","608,660",8405,3245
Denver,Colorado,"727,211","600,158",4521,1746
Washington,District of Columbia,"705,749","601,723",11148,4304
Boston,Massachusetts,"692,600","617,594",13938,5381
El Paso,Texas,"681,728","649,121",2660,1030
Nashville,Tennessee,"670,820","601,222",1388,536
Detroit,Michigan,"670,031","713,777",4847,1871
Oklahoma City,Oklahoma,"655,057","579,999",1053,407
Portland,Oregon,"654,741","583,776",4793,1851
Las Vegas,Nevada,"651,319","583,756",4709,1818
Memphis,Tennessee,"651,073","646,889",2056,794
Louisville,Kentucky,"617,638","597,337",2339,903
Baltimore,Maryland,"593,490","620,961",7598,2934
Milwaukee,Wisconsin,"590,157","594,833",6186,2388
Albuquerque,New Mexico,"560,513","545,852",2972,1147
Tucson,Arizona,"548,073","520,116",2299,888
Fresno,California,"531,576","494,665",4563,1762
Mesa,Arizona,"518,012","439,041",3514,1357
Sacramento,California,"513,624","466,488",5059,1953
Atlanta,Georgia,"506,811","420,003",3539,1366
Kansas City,Missouri,"495,327","459,787",1528,590
Colorado Springs,Colorado,"478,221","416,427",2378,918
Omaha,Nebraska,"478,192","408,958",3356,1296
Raleigh,North Carolina,"474,069","403,892",3163,1221
Miami,Florida,"467,963","399,457",12599,4865
Long Beach,California,"462,628","462,257",9347,3609
Virginia Beach,Virginia,"449,974","437,994",1850,710
Oakland,California,"433,031","390,724",7514,2901
Minneapolis,Minnesota,"429,606","382,578",7660,2960
Tulsa,Oklahoma,"401,190","391,906",2048,791
Tampa,Florida,"399,700","335,709",3326,1284
Arlington,Texas,"398,854","365,438",4100,1600
New Orleans,Louisiana,"390,144","343,829",2311,892
Wichita,Kansas,"389,938","382,368",2431,939
Bakersfield,California,"384,145","347,483",2529,976
Cleveland,Ohio,"381,009","396,815",4965,1917
Aurora,Colorado,"379,289","325,078",2356,910
Anaheim,California,"350,365","336,265",7021,2711
Honolulu,Hawaii,"345,064","337,256",5815,2245
Santa Ana,California,"332,318","324,528",12333,4762
Riverside,California,"331,360","303,871",3999,1544
Corpus Christi,Texas,"326,586","305,215",1866,720
Lexington,Kentucky,"323,152","295,803",1123,434
Henderson,Nevada,"320,189","257,729",2798,1080
Stockton,California,"312,697","291,707",4977,1922
St. Paul,Minnesota,"308,096","285,068",5815,2245
Cincinnati,Ohio,"303,940","296,943",3860,1490
St. Louis,Missouri,"300,576","319,294",5023,1939
Pittsburgh,Pennsylvania,"300,286","305,704",5481,2116
Greensboro,North Carolina,"296,710","269,666",2237,864
Lincoln,Nebraska,"289,102","258,379",3044,1175
Anchorage,Alaska,"288,000","291,826",175,68
Plano,Texas,"287,677","259,841",3990,1540
Orlando,Florida,"287,442","238,300",2635,1017
Irvine,California,"287,401","212,375",4057,1566
Newark,New Jersey,"282,011","277,140",11691,4514
Durham,North Carolina,"278,993","228,330",2395,925
Chula Vista,California,"274,492","243,916",5387,2080
Toledo,Ohio,"272,779","287,208",3451,1332
Fort Wayne,Indiana,"270,402","253,691",2391,923
St. Petersburg,Florida,"265,351","244,769",4223,1631
Laredo,Texas,"262,491","236,091",2544,982
Jersey City,New Jersey,"262,075","247,597",17848,6891
Chandler,Arizona,"261,165","236,123",3813,1472
Madison,Wisconsin,"259,680","233,209",3280,1270
Lubbock,Texas,"258,862","229,573",2027,783
Scottsdale,Arizona,"258,069","217,385",1341,518
Reno,Nevada,"255,601","225,221",2286,883
Buffalo,New York,"255,284","261,310",6359,2455
Gilbert,Arizona,"254,114","208,453",3487,1346
Glendale,Arizona,"252,381","226,721",4161,1607
North Las Vegas,Nevada,"251,974","216,961",2436,941
Winston–Salem,North Carolina,"247,945","229,617",1828,706
Chesapeake,Virginia,"244,835","222,209",703,271
Norfolk,Virginia,"242,742","242,803",4599,1776
Fremont,California,"241,110","214,089",3008,1161
Garland,Texas,"239,928","226,876",4122,1592
Irving,Texas,"239,798","216,290",3557,1373
Hialeah,Florida,"233,339","224,669",10995,4245
Richmond,Virginia,"230,436","204,214",3732,1441
Boise,Idaho,"228,959","205,671",2718,1049
Spokane,Washington,"222,081","208,916",3144,1214
Baton Rouge,Louisiana,"220,236","229,493",2651,1024
Tacoma,Washington,"217,827","198,397",4251,1641
San Bernardino,California,"215,784","209,924",3516,1358
Modesto,California,"215,196","201,165",4934,1905
Fontana,California,"214,547","196,069",4876,1883
Des Moines,Iowa,"214,237","203,433",2424,936
Moreno Valley,California,"213,055","193,365",4006,1547
Santa Clarita,California,"212,979","176,320",3446,1331
Fayetteville,North Carolina,"211,657","200,564",1386,535
Birmingham,Alabama,"209,403","212,237",1452,561
Oxnard,California,"208,881","197,899",7729,2984
Rochester,New York,"205,695","210,565",5835,2253
Port St. Lucie,Florida,"201,846","164,603",1557,601
Grand Rapids,Michigan,"201,013","188,040",4424,1708
Huntsville,Alabama,"200,574","180,105",905,349
Salt Lake City,Utah,"200,567","186,440",1742,673
Frisco,Texas,"200,490","116,989",2417,933
Yonkers,New York,"200,370","195,976",11156,4307
Amarillo,Texas,"199,371","190,695",1968,760
Glendale,California,"199,303","191,719",6606,2551
Huntington Beach,California,"199,223","189,992",7459,2880
McKinney,Texas,"199,177","131,117",2735,1056
Montgomery,Alabama,"198,525","205,764",1252,483
Augusta,Georgia,"197,888","195,844",652,252
Aurora,Illinois,"197,757","197,899",4479,1729
Akron,Ohio,"197,597","199,110",3188,1231
Little Rock,Arkansas,"197,312","193,524",1673,646
Tempe,Arizona,"195,805","161,719",4562,1761
