"state","year","shootings_total","shootings_black","shootings_white","shootings_other","pop_total","pop_black","pop_white","pop_other","rate_total","rate_black","rate_white","rate_other","control_totpop","control_blackshare","yr_2015","yr_2016","yr_2017","yr_2018","yr_2019","yr_2020","region"
"AK",2015,4,NA,2,2,737438,36711,507912,192815,5.42418481282494e-06,NA,2.71209240641247e-06,2.71209240641247e-06,737438,0.0497818121659041,1,0,0,0,0,0,"west"
"AK",2016,7,NA,3,4,737438,36711,507912,192815,9.49232342244365e-06,NA,4.06813860961871e-06,5.42418481282494e-06,737438,0.0497818121659041,0,1,0,0,0,0,"west"
"AK",2017,8,1,5,2,737438,36711,507912,192815,1.08483696256499e-05,1.35604620320624e-06,6.78023101603118e-06,2.71209240641247e-06,737438,0.0497818121659041,0,0,1,0,0,0,"west"
"AK",2018,7,1,3,3,737438,36711,507912,192815,9.49232342244365e-06,1.35604620320624e-06,4.06813860961871e-06,4.06813860961871e-06,737438,0.0497818121659041,0,0,0,1,0,0,"west"
"AK",2019,7,1,4,2,737438,36711,507912,192815,9.49232342244365e-06,1.35604620320624e-06,5.42418481282494e-06,2.71209240641247e-06,737438,0.0497818121659041,0,0,0,0,1,0,"west"
"AK",2020,7,NA,5,2,737438,36711,507912,192815,9.49232342244365e-06,NA,6.78023101603118e-06,2.71209240641247e-06,737438,0.0497818121659041,0,0,0,0,0,1,"west"
"AL",2015,17,6,11,NA,4887871,1338846,3426745,122280,3.47799686202848e-06,1.22752830424535e-06,2.25046855778313e-06,NA,4887871,0.273911893337611,1,0,0,0,0,0,"south"
"AL",2016,25,6,17,2,4887871,1338846,3426745,122280,5.11470126768894e-06,1.22752830424535e-06,3.47799686202848e-06,4.09176101415115e-07,4887871,0.273911893337611,0,1,0,0,0,0,"south"
"AL",2017,25,6,14,5,4887871,1338846,3426745,122280,5.11470126768894e-06,1.22752830424535e-06,2.86423270990581e-06,1.02294025353779e-06,4887871,0.273911893337611,0,0,1,0,0,0,"south"
"AL",2018,13,3,9,1,4887871,1338846,3426745,122280,2.65964465919825e-06,6.13764152122673e-07,1.84129245636802e-06,2.04588050707558e-07,4887871,0.273911893337611,0,0,0,1,0,0,"south"
